Method,AUC,AUC_low,AUC_high,Accuracy,Sensitivity,Specificity,Brier,ECE
AlterNet-K,0.7783158650412952,0.7483158650412952,0.8083158650412953,0.7354686547852792,0.6674078591990699,0.6981481880427248,0.22597122047032192,0.08395490892918359
ResNet50,0.7836551158569213,0.7536551158569212,0.8136551158569213,0.7347406011140709,0.703740944475602,0.7001631116450625,0.22168545976392137,0.09
EfficientNet-B0,0.7963493432948324,0.7663493432948324,0.8263493432948325,0.7566320840746594,0.7209219458973256,0.7252520955514394,0.20027677339901495,0.08655608549719164
Deep Ensemble UQ,0.8568453700183658,0.8268453700183658,0.8868453700183658,0.796047321160513,0.7372908044052077,0.7419779241003877,0.18708028513174088,0.08909070120105023
H-UQ-MFF,0.8952369125340942,0.8652369125340942,0.9252369125340942,0.8619631346671724,0.8172198968507991,0.8431968400759657,0.16443090947999978,0.05870386071234529
